Location,Size_sqft,Num_Bedrooms,Num_Bathrooms,Has_Balcony,Floor_Number,Building_Age_Years,Parking_Available,Nearby_Schools,Distance_to_CityCenter_km,Security_Level,Price_Category
Countryside,1897.0,1.0,3.0,,10.0,9.0,No,Few,6.3,Low,Low
Countryside,,1.0,1.0,No,3.0,14.0,No,Few,0.8,High,Low
City Center,2344.0,2.0,2.0,,1.0,41.0,No,Few,19.0,High,Medium
,2439.0,4.0,,Yes,5.0,47.0,No,Many,9.8,Low,Medium
Suburbs,1849.0,1.0,,Yes,13.0,43.0,No,Many,29.2,,Medium
Suburbs,2064.0,3.0,2.0,No,0.0,17.0,Yes,Few,6.2,Low,Low
Countryside,2344.0,3.0,2.0,No,,22.0,Yes,Few,10.7,Medium,Medium
Countryside,809.0,2.0,3.0,Yes,6.0,32.0,Yes,Many,11.1,,Low
Suburbs,1506.0,4.0,,Yes,0.0,15.0,No,Few,0.7,Low,Medium
Suburbs,685.0,,1.0,No,0.0,37.0,No,Many,25.3,Medium,High
,1897.0,4.0,1.0,No,0.0,,No,Few,1.4,High,Low
Suburbs,1041.0,,1.0,No,3.0,33.0,,Many,28.2,Low,High
Suburbs,2211.0,1.0,,Yes,3.0,27.0,Yes,,26.8,High,Low
Countryside,1746.0,1.0,2.0,Yes,17.0,1.0,Yes,Many,16.3,Low,Medium
Suburbs,1200.0,1.0,3.0,Yes,10.0,29.0,Yes,Many,16.5,High,Medium
City Center,2412.0,3.0,1.0,No,0.0,12.0,Yes,Few,19.8,Low,High
Suburbs,2309.0,,3.0,No,,40.0,Yes,Few,11.9,High,Medium
Countryside,541.0,,3.0,,8.0,15.0,Yes,Many,19.6,Low,Low
Countryside,2320.0,4.0,2.0,Yes,3.0,4.0,No,Many,1.8,Low,Medium
Suburbs,472.0,1.0,,No,5.0,27.0,No,Many,2.1,Medium,Medium
Countryside,971.0,1.0,2.0,Yes,15.0,38.0,Yes,,14.0,High,Low
City Center,463.0,,,No,1.0,,No,,16.7,Medium,High
City Center,764.0,4.0,2.0,No,17.0,19.0,Yes,Many,26.7,High,High
Suburbs,796.0,2.0,3.0,Yes,9.0,23.0,Yes,Many,3.6,Medium,Medium
Suburbs,999.0,4.0,1.0,No,16.0,26.0,No,Many,24.8,Low,Low
Suburbs,1002.0,,3.0,Yes,,29.0,Yes,Many,6.7,Medium,High
Countryside,2240.0,1.0,3.0,No,17.0,44.0,Yes,Many,12.1,Medium,High
City Center,2091.0,1.0,2.0,No,,26.0,Yes,Many,9.8,,Medium
City Center,482.0,1.0,1.0,Yes,16.0,25.0,No,Many,12.3,Medium,Low
Countryside,928.0,,,No,4.0,6.0,No,Few,4.9,Low,High
City Center,2031.0,2.0,2.0,Yes,10.0,41.0,No,Many,15.4,High,Medium
Suburbs,845.0,1.0,1.0,Yes,,46.0,No,Many,24.1,Medium,Medium
Suburbs,1887.0,2.0,1.0,No,9.0,37.0,Yes,Many,13.5,Low,Medium
Suburbs,923.0,1.0,3.0,Yes,16.0,4.0,No,Few,15.0,Low,Medium
City Center,893.0,3.0,1.0,Yes,14.0,22.0,No,Few,25.5,,High
Suburbs,1043.0,3.0,3.0,Yes,17.0,27.0,,Few,21.3,High,Low
Countryside,2068.0,3.0,1.0,,18.0,33.0,Yes,Many,15.0,Medium,Medium
Countryside,1759.0,3.0,,Yes,1.0,14.0,No,Many,8.1,Low,Medium
City Center,2248.0,2.0,3.0,Yes,3.0,31.0,No,Many,26.6,High,High
Countryside,2368.0,2.0,3.0,No,2.0,25.0,Yes,Few,17.5,Medium,Medium
,404.0,4.0,1.0,,,47.0,Yes,Many,7.0,Low,Medium
City Center,316.0,,1.0,No,17.0,30.0,Yes,Few,8.4,Medium,Low
Suburbs,692.0,3.0,3.0,No,9.0,18.0,Yes,Few,,High,Medium
Suburbs,724.0,2.0,1.0,Yes,6.0,8.0,No,Few,1.8,High,High
Suburbs,2476.0,1.0,2.0,No,7.0,28.0,Yes,Few,29.8,High,Low
City Center,871.0,1.0,1.0,No,,38.0,No,,4.3,High,High
Countryside,2376.0,2.0,,Yes,0.0,3.0,No,Many,24.0,High,Low
Suburbs,1420.0,3.0,2.0,Yes,3.0,2.0,No,Many,12.1,Medium,Low
Suburbs,541.0,4.0,2.0,Yes,13.0,28.0,,Few,15.0,High,Medium
City Center,1088.0,1.0,2.0,No,16.0,,No,Many,26.5,High,Medium
Suburbs,1014.0,4.0,2.0,No,19.0,32.0,Yes,Many,12.7,Low,Medium
City Center,1058.0,3.0,,Yes,17.0,37.0,No,Few,16.4,High,High
Countryside,1075.0,3.0,2.0,Yes,10.0,10.0,No,Few,2.0,Low,Medium
City Center,378.0,,1.0,No,13.0,26.0,No,Many,,Low,Medium
City Center,1155.0,3.0,2.0,No,8.0,32.0,Yes,,7.7,Low,Low
City Center,1739.0,1.0,3.0,No,14.0,20.0,,Many,20.6,Medium,Medium
City Center,2434.0,4.0,2.0,No,11.0,38.0,No,,4.1,Medium,Medium
,2448.0,3.0,3.0,Yes,9.0,30.0,Yes,Few,3.9,Low,Medium
Countryside,1331.0,4.0,2.0,No,18.0,37.0,,Many,12.6,Medium,Medium
Suburbs,1144.0,1.0,2.0,No,18.0,45.0,No,Few,19.6,High,Low
Countryside,386.0,3.0,2.0,No,5.0,1.0,Yes,Few,21.5,,Medium
Countryside,2390.0,1.0,3.0,No,19.0,26.0,No,Many,5.8,High,Low
Suburbs,707.0,3.0,3.0,,,35.0,No,Many,,,High
Countryside,1968.0,,2.0,Yes,,10.0,No,,28.2,Medium,Medium
City Center,447.0,3.0,1.0,No,0.0,46.0,No,Few,8.2,Medium,Medium
City Center,531.0,4.0,2.0,No,16.0,17.0,No,Few,25.7,Low,Medium
Suburbs,2250.0,3.0,3.0,Yes,16.0,0.0,Yes,Few,26.0,Medium,Low
Suburbs,665.0,1.0,2.0,Yes,14.0,34.0,Yes,Few,23.3,Medium,Medium
Suburbs,1974.0,1.0,3.0,No,,34.0,Yes,Many,5.5,Medium,Medium
,735.0,,3.0,No,,30.0,No,,24.7,High,High
Countryside,698.0,4.0,3.0,Yes,2.0,27.0,No,Few,23.2,High,Low
City Center,1534.0,2.0,2.0,Yes,,38.0,No,Many,,,Low
Suburbs,1714.0,,3.0,Yes,,,Yes,Few,10.4,Low,High
Countryside,862.0,2.0,3.0,Yes,,24.0,No,Few,8.2,Low,Low
,1584.0,1.0,,Yes,8.0,42.0,No,Many,4.1,Low,Medium
City Center,1072.0,4.0,3.0,Yes,9.0,37.0,No,Few,15.5,High,Medium
,2337.0,2.0,2.0,No,1.0,19.0,Yes,Few,17.8,Medium,High
City Center,1643.0,,3.0,Yes,0.0,,Yes,Few,11.1,Low,Low
Countryside,2485.0,1.0,1.0,Yes,15.0,1.0,No,Few,14.5,Low,Low
City Center,1873.0,3.0,1.0,Yes,17.0,17.0,No,Many,11.2,High,Low
City Center,1291.0,1.0,,,16.0,,No,Few,,Low,High
Suburbs,1546.0,4.0,1.0,No,5.0,9.0,,Many,27.1,Medium,Medium
Suburbs,659.0,,2.0,No,13.0,4.0,Yes,Few,5.3,High,High
Countryside,1220.0,1.0,1.0,Yes,14.0,8.0,Yes,,11.8,High,Medium
,1262.0,1.0,3.0,No,13.0,1.0,No,Many,4.7,,High
City Center,2127.0,1.0,3.0,,2.0,33.0,Yes,Many,18.9,Medium,Medium
City Center,1913.0,4.0,2.0,No,18.0,37.0,,Few,22.0,Medium,Low
Countryside,1940.0,2.0,3.0,No,11.0,30.0,No,Few,28.0,Low,Low
Countryside,516.0,3.0,2.0,,1.0,9.0,Yes,Few,8.7,Medium,Low
Suburbs,677.0,3.0,1.0,No,,49.0,No,Many,28.5,High,High
,418.0,4.0,,,17.0,11.0,Yes,Few,2.4,Medium,High
Suburbs,489.0,,2.0,Yes,0.0,35.0,No,Few,18.3,High,High
City Center,669.0,1.0,2.0,Yes,19.0,20.0,No,Few,2.2,High,Low
City Center,2101.0,2.0,3.0,Yes,5.0,48.0,Yes,Few,,Low,Medium
Suburbs,2496.0,3.0,1.0,Yes,,46.0,,Many,16.1,Medium,Low
City Center,951.0,,2.0,No,0.0,5.0,No,,20.2,Low,Low
Suburbs,2182.0,1.0,1.0,Yes,18.0,,No,Few,25.0,Medium,Medium
,1811.0,,2.0,Yes,0.0,48.0,No,Few,4.9,Medium,Medium
Suburbs,1069.0,4.0,1.0,No,15.0,2.0,,Few,1.6,Medium,Medium
Countryside,1080.0,2.0,3.0,No,11.0,9.0,No,Many,26.4,Medium,Medium
City Center,2016.0,1.0,1.0,Yes,7.0,4.0,No,Few,9.8,Medium,Low
Suburbs,1611.0,2.0,1.0,,15.0,45.0,No,Many,4.3,High,High
City Center,,3.0,1.0,No,0.0,25.0,Yes,,14.3,High,Low
Countryside,822.0,3.0,,No,3.0,20.0,Yes,Few,18.2,Medium,Medium
Countryside,821.0,4.0,1.0,No,9.0,44.0,No,,1.4,High,High
,1082.0,1.0,3.0,Yes,10.0,25.0,No,Few,8.6,Low,High
,1235.0,1.0,2.0,No,16.0,37.0,Yes,,1.5,Low,Low
City Center,1988.0,4.0,1.0,Yes,6.0,43.0,No,Many,12.9,Low,Low
City Center,787.0,4.0,3.0,,11.0,25.0,Yes,Few,26.9,Medium,Low
City Center,2150.0,1.0,1.0,No,6.0,7.0,Yes,,29.5,Medium,High
,1145.0,2.0,1.0,No,11.0,4.0,Yes,Few,19.3,High,High
Countryside,2471.0,2.0,2.0,No,14.0,14.0,No,Few,,High,High
Suburbs,,4.0,1.0,Yes,1.0,15.0,No,Many,27.2,High,Medium
Suburbs,2048.0,2.0,3.0,No,13.0,0.0,,Many,15.7,Low,Medium
City Center,985.0,,3.0,No,12.0,15.0,Yes,Many,5.0,Low,Low
Countryside,,3.0,,No,3.0,36.0,Yes,Many,27.7,Low,High
Countryside,,3.0,1.0,No,13.0,,Yes,Few,22.8,Low,Low
Countryside,1867.0,2.0,,No,13.0,46.0,No,Few,,High,High
Suburbs,1545.0,4.0,1.0,Yes,15.0,30.0,Yes,Few,21.4,,Low
Suburbs,338.0,4.0,1.0,No,6.0,12.0,Yes,Many,6.4,Medium,Medium
Countryside,1079.0,,,No,,15.0,No,,6.7,Low,High
Countryside,1556.0,4.0,2.0,No,1.0,42.0,Yes,Many,20.8,Medium,Medium
Countryside,2496.0,4.0,1.0,Yes,9.0,20.0,Yes,Many,7.0,Medium,High
Suburbs,2227.0,2.0,,No,17.0,1.0,No,Many,13.4,,Low
Countryside,601.0,3.0,1.0,Yes,16.0,26.0,No,Few,23.6,Low,High
Countryside,946.0,3.0,,,4.0,37.0,Yes,Many,23.6,High,Medium
,962.0,,1.0,,11.0,25.0,No,Many,13.9,High,High
,2059.0,4.0,3.0,No,5.0,37.0,Yes,Many,23.9,Medium,Low
Suburbs,555.0,2.0,3.0,No,8.0,45.0,No,Many,25.2,High,High
Countryside,897.0,3.0,1.0,Yes,,24.0,Yes,Many,19.8,High,Medium
Countryside,961.0,,1.0,Yes,0.0,10.0,No,,7.2,Low,Low
City Center,534.0,2.0,3.0,Yes,14.0,7.0,Yes,Many,8.6,Low,Medium
Suburbs,1668.0,,2.0,Yes,5.0,7.0,No,Many,9.8,Medium,High
City Center,1069.0,,,Yes,18.0,32.0,No,Many,3.9,Medium,Medium
City Center,512.0,3.0,2.0,Yes,17.0,6.0,No,Many,8.6,Medium,High
City Center,762.0,3.0,1.0,No,5.0,37.0,No,Many,6.7,Low,Low
City Center,582.0,3.0,1.0,No,12.0,20.0,No,Many,13.9,,Medium
Countryside,1786.0,4.0,1.0,Yes,0.0,7.0,No,,27.3,Low,Medium
Countryside,1730.0,1.0,1.0,No,12.0,20.0,No,Few,3.6,Low,High
City Center,387.0,3.0,2.0,No,6.0,,Yes,,21.7,High,Medium
Suburbs,1367.0,,1.0,Yes,14.0,7.0,Yes,Many,20.8,High,Medium
Suburbs,760.0,1.0,3.0,Yes,11.0,45.0,No,Many,3.3,Medium,Low
,,,3.0,No,0.0,30.0,No,Few,27.7,High,High
Suburbs,1676.0,1.0,2.0,Yes,14.0,49.0,Yes,,,High,High
City Center,814.0,2.0,1.0,Yes,3.0,28.0,Yes,Few,11.2,,Low
Countryside,1002.0,,3.0,No,12.0,,No,Many,22.8,High,Low
Suburbs,,2.0,2.0,Yes,4.0,8.0,Yes,Many,,Medium,High
City Center,2366.0,4.0,1.0,No,1.0,14.0,Yes,Many,21.0,Medium,Low
,322.0,3.0,3.0,No,,29.0,No,Many,1.7,High,Low
Suburbs,,3.0,,No,15.0,25.0,No,Few,25.3,High,Low
,2130.0,3.0,2.0,No,5.0,9.0,No,Many,13.7,,High
Countryside,2455.0,3.0,1.0,No,15.0,28.0,Yes,Few,,Medium,Low
Countryside,1604.0,4.0,1.0,Yes,13.0,15.0,,Few,7.0,High,Medium
City Center,1434.0,3.0,3.0,Yes,2.0,35.0,,Many,20.5,Low,Medium
Countryside,2483.0,1.0,3.0,Yes,,,,Few,23.3,Medium,High
City Center,661.0,3.0,3.0,Yes,2.0,44.0,No,Few,14.5,Medium,Low
City Center,2476.0,,1.0,No,1.0,,Yes,Few,18.7,Medium,Medium
City Center,2199.0,3.0,2.0,No,,21.0,Yes,Few,14.0,High,High
Countryside,1584.0,1.0,2.0,Yes,8.0,6.0,Yes,Many,26.9,High,Medium
City Center,814.0,4.0,1.0,No,8.0,22.0,Yes,Many,15.2,Medium,Low
Suburbs,748.0,4.0,2.0,Yes,6.0,40.0,Yes,Few,25.3,High,High
Countryside,2223.0,1.0,3.0,Yes,2.0,39.0,Yes,Many,,High,Medium
Countryside,1806.0,1.0,2.0,Yes,17.0,28.0,,Few,12.6,Medium,High
Countryside,1547.0,1.0,2.0,No,10.0,15.0,No,Many,7.3,High,Medium
Countryside,2155.0,,2.0,No,6.0,37.0,No,,12.5,Low,Medium
Suburbs,1173.0,1.0,3.0,No,8.0,,Yes,Many,24.9,High,Low
Countryside,1728.0,4.0,1.0,No,,47.0,No,Many,7.2,,Low
Countryside,,4.0,3.0,Yes,13.0,37.0,Yes,,16.0,Medium,Medium
City Center,1222.0,3.0,1.0,No,19.0,30.0,No,Few,24.3,Medium,High
Countryside,2459.0,3.0,1.0,No,5.0,13.0,,Many,10.9,Low,High
Suburbs,1336.0,2.0,1.0,No,6.0,32.0,No,Few,19.4,High,Low
Suburbs,1716.0,,2.0,Yes,9.0,8.0,Yes,Few,7.7,Low,Medium
Suburbs,613.0,3.0,2.0,,6.0,,,Many,3.7,,Low
Suburbs,,1.0,,No,1.0,,Yes,Few,23.9,,Medium
Countryside,1337.0,1.0,1.0,,3.0,12.0,No,Many,3.4,High,Medium
Countryside,1956.0,,2.0,No,16.0,,Yes,Few,8.5,Medium,Low
Suburbs,,2.0,3.0,,,28.0,No,Few,25.7,Low,High
Suburbs,1314.0,1.0,1.0,Yes,9.0,,No,Many,10.7,,Low
,1393.0,3.0,3.0,No,18.0,,No,Many,,Medium,Medium
Suburbs,1424.0,3.0,2.0,No,14.0,27.0,Yes,Many,29.4,Medium,Low
City Center,,4.0,1.0,No,9.0,27.0,Yes,,8.4,Medium,High
Suburbs,2479.0,2.0,3.0,Yes,,7.0,Yes,Few,1.7,Medium,High
Suburbs,1704.0,4.0,3.0,Yes,11.0,22.0,Yes,Many,21.3,Medium,Medium
City Center,1455.0,2.0,3.0,No,15.0,28.0,Yes,Few,13.8,Low,Low
City Center,1343.0,,2.0,No,8.0,4.0,No,Few,3.5,Medium,High
Countryside,2229.0,,2.0,No,14.0,41.0,Yes,Few,21.4,High,Low
,1313.0,3.0,3.0,No,16.0,6.0,No,Few,1.4,Low,High
City Center,526.0,3.0,3.0,No,13.0,,No,Few,26.2,Low,Medium
City Center,2128.0,2.0,,Yes,17.0,35.0,Yes,Few,,,Medium
Countryside,1792.0,,3.0,,1.0,40.0,No,,4.3,High,Low
Suburbs,1121.0,2.0,,Yes,3.0,26.0,Yes,Few,5.7,Low,Medium
City Center,2323.0,4.0,,No,17.0,45.0,Yes,Few,28.8,,High
Countryside,1170.0,2.0,,Yes,6.0,1.0,Yes,Few,20.9,Low,Medium
Suburbs,2385.0,1.0,3.0,Yes,12.0,24.0,No,Many,24.1,Low,High
City Center,2095.0,4.0,3.0,Yes,14.0,8.0,Yes,Many,12.2,High,High
Suburbs,487.0,4.0,,No,0.0,26.0,Yes,Few,10.4,Low,Medium
Countryside,1380.0,2.0,3.0,,10.0,0.0,Yes,Many,7.4,Medium,High
City Center,1240.0,1.0,2.0,Yes,9.0,22.0,No,,14.7,High,High
